title,company_name_reworked,website,phone,city,category,abstract,ai_first_sentence
Podlahové centrum Vestigia,Podlahové centrum Vestigia,,+421 917 366 705,Banská Štiavnica,Podlahárske práce,,
"PARKETT MANN, s.r.o.",PARKETT MANN,https://www.parkettmann.sk/,+421 902 907 979,Žarnovica,Obchod,,
PARKETÁRI-Brúsenie Parkiet Bratislava,PARKETÁRI-Brúsenie Parkiet Bratislava,http://www.brusenieparkiet-bratislava.sk/,+421 910 133 482,Malinovo,Podlahárske práce,,
"Brúsenie, lakovanie parkiet","Brúsenie, lakovanie parkiet",http://www.foxparkety.sk/,+421 948 450 115,Malinovo,Podlahárske práce,,
Z-PARKETY,Z-PARKETY,http://www.z-parkety.sk/,+421 903 955 692,Beluša,Podlahárske práce,,
"Madax, s.r.o.",Madax,,+421 908 108 177,Košice,Podlahárske práce,,
"Podlahárske práce, Brúsenie podláh, Nové Zámky,","Podlahárske práce, Brúsenie podláh, Nové Zámky,",,+421 903 122 376,Nové Zámky,Brúsenie a leštenie podláh,,
Michal Kolár - RenoParket,Michal Kolár,https://www.renoparket.sk/,+421 949 702 361,Borčany,Pokladanie drevených podlahových krytín,,
"Podlahy, Parkety Žilina...","Podlahy, Parkety Žilina...",http://www.podlahyparketyzilina.sk/,+421 904 230 716,Žilina,Podlahárske práce,,
zDreva.com – brúsenie parkiet & montáž podláh,zDreva,https://zdreva.com/,+421 950 633 208,Lok,Stolárstvo,,
Renovácia parkiet Bratislava | brúsenie parkiet a lakovanie,Renovácia parkiet Bratislava,https://www.goldenwoodparkety.sk/renovacia,+421 903 728 451,Bratislava,Podlahárske práce,,
Parkety Bačovský,Parkety Bačovský,http://www.parketybacovsky.sk/,+421 905 316 850,Ludanice,Podlahárske práce,,
Popelka parkety,Popelka parkety,http://www.popelkaparkety.sk/,,Petržalka,Podlahárske práce,,
Drevall,Drevall,https://drevall.sk/,+421 907 642 138,Spišská Nová Ves,Podlahárske práce,,
"Renovujeme, s. r. o.",Renovujeme,https://renovujeme.com/,+421 911 424 987,Nemecká-Petrochema,Podlahárske práce,,
Parkety PB,Parkety PB,http://www.parkety-pb.sk/,+421 905 222 466,Chorvátsky Grob,Podlahárske práce,,
Brúsenie parkiet Kopunec,Brúsenie parkiet Kopunec,http://www.parkety-brusenie.sk/contact.html,+421 908 766 553,"Nové Zlatovce, Trenčín",,,
Golden Wood Parkety Design - drevené podlahy,Golden Wood Parkety Design,https://www.goldenwoodparkety.sk/,+421 903 728 451,Bratislava,Obchod s podlahovými krytinami,,
Parkety - Černák,Parkety,http://parkety-cernak.sk/,+421 904 933 606,Brezno,Obchod s podlahovými krytinami,,
liate podlahy,LIATE,http://www.liatepodlahy.sk/,+421 918 999 171,Bratislava,Interiérové štúdio,,
Liate podlahy,LIATE,https://www.profloor.sk/kontakt/,+421 905 326 035,Prievidza,Podlahárske práce,,
PROFLOOR s.r.o.,PROFLOOR,http://profloor.sk/,+421 915 301 371,Prievidza,Podlahárske práce,,
"EPO PLAST, s.r.o.",EPO,http://www.epoplast.sk/,+421 905 807 110,Slepčany,Podlahárske práce,,
dizajnovepodlahy.sk - showroom Bratislava,dizajnovepodlahy,http://dizajnovepodlahy.sk/,+421 948 253 021,Bratislava,Obchod s podlahovými krytinami,,
Epoxy s.r.o.,Epoxy,https://www.epoxidy.sk/,+421 948 020 994,Vysoká pri Morave,Obchod s podlahovými krytinami,,
Liate priemyselné podlahy,LIATE,https://www.priemyselnepodlahypresov.sk/,+421 51/290 16 76,"Solivar, Prešov",Dodávateľ,,
TOP PODLAHY s.r.o.,TOP,http://toppodlahy.eu/,+421 911 940 919,Bratislava,Podlahárske práce,,
"LukaDEKOR - Epoxidove liate podlahy, kamenný koberec, dekoratívny betón",LukaDEKOR,http://www.lukadekor.sk/,+421 944 107 544,Dulova Ves,Stavebná firma,,
EPOX liate podlahy,EPOX,http://www.epox.sk/,+421 948 606 606,,Stavebná firma,,
PPK priemyselné podlahy s.r.o.,PPK,http://www.priemyselne-podlahy.com/,+421 911 509 694,Považská Bystrica,Obchod s podlahovými krytinami,,
Anhydritové potery - POTERY Sereď s.r.o.,Anhydritové potery,http://www.anhydrit-ps.sk/,+421 948 900 104,Sereď,Stavby rodinných domov,,
SVEGAL s.r.o.,SVEGAL,https://svegal.sk/,+421 2/444 621 66,Bratislava,Obchod s farbami,,
SOHO s.r.o.,SOHO,https://www.soholiatepodlahy.sk/,+421 949 778 429,Domaňovce,Stavebná firma,,
Roman Lagín LAGRO - PODLAHY,ROMAN,http://www.lagro-podlahy.eu/,+421 908 282 292,Domaniža,Dodávateľ,,
Premium Floors s.r.o.,Premium Floors,https://www.premiumfloors.sk/,+421 910 402 727,Vysoká pri Morave,Podlahárske práce,,
Epoxidy - Epoxidové Podlahy,Epoxidy,,+421 2/546 510 41,Staré Mesto,Obchod s podlahovými krytinami,,
PRIEMYSELNÉ PODLAHY,PRIEMYSELNÉ PODLAHY,https://www.priemyselnepodlahy.eu/,+421 903 658 250,Nové Mesto nad Váhom,Stavebná spoločnosť,,
Norma Stolárstvo Bóna,NORMA,,,Modrany,Stolár,,
Stoltes - Stefaknovics Július,Stoltes,,+421 905 820 250,Modrany,Stolár,,
Gabriel s.r.o. - Stolárstvo,Gabriel,,+421 905 270 493,Nána,Stolárstvo,,
UT Nábytok,UT,http://utproductinfo.wixsite.com/utnabytok,,Bátorove Kosihy,Stolár,,
Woody nábytok na mieru,WOODY,https://www.facebook.com/profile.php?id=100091570162124,,Bátorove Kosihy,Stolár,,
Ladislav Csomor - Astol,Ladislav Csomor,http://www.astol-az.sk/,+421 908 859 573,Veľké Ludince,Stolár,,
T-Stolárstvo,T-Stolárstvo,http://t-stolarstvo.sk/contact/,+421 918 477 454,Nová Vieska,Stolár,,
Tibor Terényi - stolár,TIBOR,,+421 905 758 904,Kravany nad Dunajom,,,
Zsolt Diósi,ZSOLT,,+421 36/759 91 27,Bíňa,Stolár,,
Dioši Csaba - Windoors,DIOŠI,http://www.win-doors.sk/,+421 905 401 275,,Stolár,,
Poctivý stolár,Poctivý stolár,http://www.poctivystolar.sk/,+421 948 131 913,Malacky,Stolárstvo,,
Ladislav Füri - Stolárstvo,Ladislav Füri,,+421 35/648 52 48,Dvory nad Žitavou,Stolár,,
KEČKÉŠ JURAJ - STOLÁR,KEČKÉŠ JURAJ,http://www.stolarstvokeckes.sk/,+421 908 736 016,Dvory nad Žitavou,Stolár,,
Stolárstvo - Gyurcsovics,Stolárstvo,,+421 905 826 603,Pribeta,,,
Stolárstvo IN-STOL Senec,Stolárstvo IN-STOL Senec,https://www.in-stol.sk/,+421 915 859 817,"Nová Ves pri Dunaji, Nová Dedinka",Stolár,,
V-H-Č stolárstvo s.r.o.,V-H-Č,https://vhcstolarstvo.sk/,+421 35/770 25 89,Komárno-Ďulov Dvor,Stolár,,
Stolárstvo Stolars,Stolárstvo Stolars,http://www.stolars.sk/,+421 905 429 378,"Priemyselný obvod, Prievidza",Výrobca nábytku,,
Stolárstvo Senec,Stolárstvo Senec,https://stolarstvosenec.sk/,+421 903 400 054,Tureň,Stolárstvo,,
M-P Stolarstvo,M-P,,+421 904 223 997,"Dolná kapsa, Nové Zámky",Stolár,,
Stokva Stolárstvo,Stokva Stolárstvo,,+421 35/642 83 58,Nové Zámky,Stolár,,
Drelux - Stolárstvo - Imrich Luttmann,Drelux,,+421 905 758 624,Dubník,,,
Stolárstvo - Asztalos,Stolárstvo,,+421 905 758 904,Kravany nad Dunajom,,,
Stolárstvo Koczkás,Stolárstvo Koczkás,,+421 905 872 713,Bátorove Kosihy,,,
K & K - Stolárstvo,K,,+421 36/752 25 90,Štúrovo,,,
STOLÁRSTVO PALA - Ladislav Pathó,STOLÁRSTVO PALA,,+421 903 103 569,Mužla,,,
STOLÁRSTVO ALEX,STOLÁRSTVO ALEX,,+421 917 082 031,Senec,Stolár,,
PK STOLÁRSTVO,PK,,,Hul,Stolárstvo,,
JS Stolárstvo,JS,http://www.js-stolarstvo.sk/,+421 902 614 002,Klokočov,Stolár,,
Stolárstvo Partizánske,Stolárstvo Partizánske,http://www.stolarstvopartizanske.sk/,+421 902 444 249,"Veľké Bielice, Partizánske",Stolárstvo,,
Stolárstvo Muči Nové Zámky,Stolárstvo Muči Nové Zámky,http://www.stolarstvomuci.sk/,+421 907 709 217,"Dolná kapsa, Nové Zámky",Výrobca,,
Stolárstvo Chovanec,Stolárstvo Chovanec,http://www.stolarstvochovanec.sk/,+421 905 546 809,Mojzesovo,Stolár,,
Stolárstvo Haulík s.r.o.,Stolárstvo Haulík,https://m.facebook.com/stolarstvo.haulik/,+421 918 498 212,"Pri Bani, Nové Zámky",Výrobca nábytku,,
"ParkettWorld Košice - parkety, minerálne kompozitné vinylové podlahy, drevené terasy a fasády, dvere, bývanie na kľúč",ParkettWorld Košice,http://www.parkettworld.sk/,,Košice,Obchod s podlahovými krytinami,,
"Quick-Step | Košice | - drevené parkety, kompozitné podlahy, plávajúce podlahy",Quick-Step,http://podlahy.eso.sk/,+421 918 527 763,Košice,Obchod s podlahovými krytinami,,
123podlahy.sk - Spacewer (hlavná pobočka),123podlahy,http://www.123podlahy.sk/,+421 902 246 989,Prešov,Obchod s podlahovými krytinami,,
K-Produkt SK,K-Produkt SK,https://www.kprodukt.sk/,+421 45/533 23 36,Lieskovec,Obchod s podlahovými krytinami,,
EuroParket Považská Bystrica,EuroParket Považská Bystrica,http://www.europarket.sk/,+421 911 880 833,Považská Bystrica,Obchod s podlahovými krytinami,,
PODLAHA PRE KAŽDÉHO,PODLAHA PRE KAŽDÉHO,https://www.podlahaprekazdeho.sk/,+421 907 795 664,Banská Bystrica,Obchod s podlahovými krytinami,,
Martin Štedl - STEFLOOR,Martin Štedl,https://stefloorke.sk/,+421 903 653 924,IV,Obchod s podlahovými krytinami,,
ITAKA floors s.r.o.,ITAKA,http://www.itakafloors.sk/,+421 918 733 974,Košice,Obchod s podlahovými krytinami,,
Vanes Slovakia s.r.o.,VANES,http://www.kvalitne-podlahy.sk/,+421 903 506 518,Žilina,Obchod s podlahovými krytinami,,
DIEGO Košice,DIEGO,http://diego.sk/,+421 917 440 769,Košice,Obchod s podlahovými krytinami,,
Adam - Plávajúce Podlahy,Adam,,+421 47/433 08 58,Lučenec,,,
Lino - Shop,Lino,http://www.linoshop.sk/,+421 47/536 44 95,Rimavská Sobota,Obchod s podlahovými krytinami,,
Spantex Drogéria,Spantex Drogéria,https://m.facebook.com/SpantexDrogeriaKoberce/?locale2=sk_SK,+421 910 482 451,Kolárovo,Drogéria,,
INEX Decor,INEX,https://www.facebook.com/inexdecorpd/,+421 908 244 019,Prievidza,Obchod s podlahovými krytinami,,
RM ADAMs.r.o – PODLAHY - DVERE,RM,https://rm-adam-s-r-o-podlahy-interierove-a-bezpecnostne-dveredvere.webnode.sk/,+421 53/441 04 12,Spišská Nová Ves,Obchod s podlahovými krytinami,,
Marián Zsoldos - Stolárstvo,Marián Zsoldos,https://www.stolarstvozsoldos.sk/,+421 918 860 481,,Výrobca nábytku,,
mebline.sk | lacný nábytok online,mebline,http://www.mebline.sk/,+421 948 045 577,Štúrovo,Predajňa nábytku,,
DECOMARKET interiérové štúdio - DALNO kuchyne,DECOMARKET interiérové štúdio,http://www.decomarket.sk/,+421 907 646 848,Ružinov,Predajňa kuchynského nábytku,,
Skrine a Kuchyne na mieru Timbersaw,Skrine a Kuchyne na mieru Timbersaw,http://www.timbersaw.sk/,+421 908 373 399,"Priekopa, Martin",Výrobca nábytku,,
KUCHYNE pre každého SK s.r.o.,KUCHYNE pre každého SK,http://www.kuchyneprekazdeho.sk/,+421 903 645 245,Petržalka,Predajňa kuchynského nábytku,,
"Flowinteriér - Nábytok na mieru, Kuchyne, Skrine, Spálne.",Flowinteriér,https://flowinterier.sk/,+421 917 280 152,Hájske,Výrobca nábytku,,
iKuchyne!,iKuchyne!,http://www.ikuchyne.sk/,+421 908 509 091,Bratislava,Predajňa kuchynského nábytku,,
Dalno Kuchyne Bratislava | Petržalka,DALNO,https://www.studioremar.sk/,+421 944 003 302,Petržalka,Obchod s kuchynským nábytkom,,
Juraj Grác - NaMieru,JURAJ,http://www.namieru.sk/,+421 903 034 790,Topoľčany,Výrobca nábytku,,
Kuchyne ENZO - Nitra,Kuchyne ENZO,https://kuchyneenzonitra.sk/,+421 911 270 905,Nitra,Výrobca nábytku,,
Paluan - Nábytok na Mieru,Paluan,https://www.paluan.sk/,+421 948 332 556,Dolný Kubín,Predajňa kuchynského nábytku,,
Kuchyne Tatry,Kuchyne Tatry,http://www.kuchynetatry.sk/,+421 907 390 945,Poprad,Predajňa nábytku,,
"Kuchyne - Nábytok na mieru Datop, s.r.o.",Kuchyne,http://www.datop.sk/,+421 918 567 471,Oravský Podzámok,Výrobca nábytku,,
Dalno Kuchyne | Trenčín,DALNO,https://www.dalno.sk/,+421 905 608 004,Trenčín,Obchod s kuchynským nábytkom,,
Kuchyne Fork - kuchynské štúdio,Kuchyne Fork,http://www.kuchynefork.sk/,+421 948 167 800,Stupava,Obchod s kuchynským nábytkom,,
Woodstory - kuchyne na mieru,Woodstory,https://www.woodstory.sk/,+421 907 636 302,Malacky,Obchod s kuchynským nábytkom,,
VALENT kuchyne interiéry spol. s.r.o.,VALENT kuchyne interiéry spol.,http://kuchynevalent.sk/,+421 948 717 188,Petržalka,Výrobca nábytku,,
Srdce domova - kuchyne a nábytok na mieru,SRDCE,http://www.srdcedomova.sk/,+421 948 229 915,Trenčín-Sídlisko Juh,Výrobca nábytku,,
DanKuchen kuchynské štúdio,DanKuchen kuchynské štúdio,http://www.danstudio.sk/,+421 907 617 775,Liptovský Mikuláš,Predajňa kuchynského nábytku,,
Slovenské kuchyne SANAS - kuchynské linky na mieru,Slovenské kuchyne SANAS,http://www.sanas.sk/,+421 915 909 497,Spišská Nová Ves,Predajňa nábytku,,
"KASNA - vstavané skrine, kuchynské linky",KASNA,,+421 949 669 166,Trnava,Predajňa nábytku,,
"Rubina, s.r.o.",Rubina,https://www.facebook.com/Rubinasro,+421 905 623 581,Svodín,Výrobca nábytku,,
Nábytok Eliška,Nábytok Eliška,https://eliska.sk/,+421 905 709 801,Nové Zámky-Dolná kapsa,Výrobca nábytku,,
New Design - nábytok na mieru - výroba,NEW,https://newdesign.sk/,+421 905 548 131,Plavecký Mikuláš,Výrobca nábytku,,
Ďuriš- VÝROBA NÁBYTKU,Ďuriš- VÝROBA NÁBYTKU,https://duris-vyroba-nabytku1.webnode.sk/?_gl=1*w11x4p*_gcl_au*NDY4NDYxOTY0LjE3NTA4MzIyNjYuMTM4MzUwOTYwNC4xNzUwODM3NzAxLjE3NTA4Mzc3MzM.,+421 905 347 681,Zbehy,Stolárstvo,,
KRAFT - NÁBYTOK NA MIERU,KRAFT,http://www.kraftnabytok.sk/,+421 914 195 522,Dolný Hričov,Stolárstvo,,
Bafa Bútor,BAFA,https://ba-fabutor.com/,+421 917 413 529,Chotín,Pracovník s drevom,,
Kuks - nábytok na mieru,Kuks,http://www.kuks.sk/,+421 918 760 762,"Revolta, Kremnica",Výrobca nábytku,,
Stolárstvo Provena 🛋️ Kvalita a krása nábytku na mieru v Nitre,Stolárstvo Provena 🛋️ Kvalita a krása nábytku na mieru v Nitre,https://www.provena.sk/,+421 948 917 329,"Dolné Krškany, Nitra",Predajňa nábytku,,
Šiška Nábytok - Výroba a predaj nábytku na mieru,ŠIŠKA,http://www.siskanabytok.sk/,+421 915 219 220,Špačince,Firemná kancelária,,
Miroslav Záň - výroba nábytku,Miroslav Záň,https://www.zannabytok.sk/,+421 908 715 016,"Priemyselný obvod, Prievidza",Výrobca nábytku,,
VÝROBA NÁBYTKU BELANEC,VÝROBA NÁBYTKU BELANEC,http://nabytokbelanec.sk/,+421 902 727 413,Miezgovce,Výrobca nábytku,,
"Nábytok PRESTIGE - predaj nábytku, zákazková výroba nábytku",Nábytok PRESTIGE,http://www.nabytok-prestige.sk/,+421 948 073 123,Ružomberok,Výrobca nábytku,,
Himolla - Selyz s.r.o.,Himolla,http://www.himolla.com/cms2/index.php?id=1&L=5%2Findex.php,,Želiezovce,Výrobca nábytku,,
Industriálny nábytok - Kovart,Industriálny nábytok,,+421 918 648 399,Sereď,Výrobca nábytku,,
EMZET výroba nábytku,EMZET,http://www.emzetnr.sk/,+421 905 633 104,"Kynek, Nitra",Výrobca nábytku,,
L. A. Wood - Ladislav Jacko,L.,http://www.lawood.sk/,+421 905 896 470,"Dolná kapsa, Nové Zámky",Výrobca nábytku,,
Výroba nábytku z masívu,Výroba nábytku z masívu,,+421 915 540 741,Levice,Stolár,,
Coxicont s.r.o.,Coxicont,http://www.coxicont.sk/,+421 907 043 531,Radvaň nad Dunajom,Zámočníctvo,,
Otváranie zabuchnutých alebo zamknutých dverí domov a áut - nonstop servis,Otváranie zabuchnutých alebo zamknutých dverí domov a áut,https://zabuchnute.sk/,+421 902 333 887,Petržalka,Zámočníctvo,,
OTVORIME.SK – Zámočník Bratislava NONSTOP,OTVORIME,https://otvorime.sk/,+421 903 232 761,Ivanka pri Dunaji,Kľúčová služba,,
Zámočník SOS – Otváranie a servis dverí domov a áut. Bratislava a okolie.,Zámočník SOS,https://www.zamocnik-sos.sk/,+421 911 114 646,Petržalka,Zámočníctvo,,
Zámočník Michal -- ZÁMOČNÍK,Zámočník Michal -- ZÁMOČNÍK,http://www.zamocnik.com/,+421 918 761 155,"Stráňany, Michalovce",Zámočníctvo,,
Otváranie zabuchnuté aj zamknuté dvere zámočník klúčová služba Prievidza Handlová Partizánske Nováky,Otváranie zabuchnuté aj zamknuté dvere zámočník klúčová služba Prievidza Handlová Partizánske Nováky,https://www.zeleziarstvodomov.sk/zeleziarstvo-naradie-doprava/klucova-sluzba-otvaranie-zabuchnutych-dveri,+421 905 320 312,"Močidlá, Prievidza",Zámočníctvo,,
KĽÚČOVÁ SLUŽBA - Figolock,KĽÚČOVÁ SLUŽBA,https://figolock.sk/,+421 907 737 756,Nové Zámky,Kľúčová služba,,
DOKTOR DVERE - Kľúčová služba Nové Zámky,DOKTOR,https://www.doktordvere.sk/,+421 940 920 100,,Kľúčová služba,,
ZAMaKOV - IVANIČ DUŠAN,ZAMaKOV,,+421 915 114 309,Semerovo,Dodávateľ plotov,,
Peter Pajkoš - Zámky,PETER,https://zamocnik-kosice.sk/,+421 905 757 418,Košice,Remeslá,,
Kolembus Peter - Zámočnícke Práce,Kolembus Peter,http://www.kolembus-nz.sk/,+421 35/641 21 16,"Pri Bani, Nové Zámky",Spoločnosť vyrábajúca kovové konštrukcie,,
Zámočník,Zámočník,https://zamocnik-kosice.sk/kontakt/,+421 905 757 418,Sídlisko KVP,Obchod,,
"SOS ZÁMOČNÍK ZÁHORIE - núdzové otváranie dverí bytov, domov a automobilov",SOS,https://sos-zamocnik-zahorie.sk/,+421 911 766 776,Radošovce,Núdzové zámočnícke služby,,
Zámočník,Zámočník,,+421 911 416 144,Bratislava,Údržbárske služby,,
Zamočník Mimbelli,Zamočník Mimbelli,https://www.zamocnikmimbelli.sk/,+421 948 056 769,,Zámočníctvo,,
Otváranie dverí Bratialava Zámočník Bratislava Zabuchnuté dvere Výroba a kódovanie autokľúčov Locksmith SOS Servis,Otváranie dverí Bratialava Zámočník Bratislava Zabuchnuté dvere Výroba a kódovanie autokľúčov Locksmith SOS Servis,https://otvaraniedveribratislava.sk/,+421 910 646 444,,Zámočníctvo,,
Zámočník,Zámočník,,,Hajnáčka,Park,,
Zámočník,Zámočník,,+421 911 416 144,Sekule,,,
Bobby - Róbert Zámočník,Bobby,,+421 905 182 358,Sasinkovo,,,
MoSaZ Mišík Miroslav,MOSAZ,,+421 37/783 35 71,Vráble,,,
Joalko S.r.o.,Joalko,http://www.joalko.sk/,+421 35/760 40 00,Hurbanovo,Výrobca nábytku,,
Wood Musky,WOOD,http://www.woodmusky.de/,,,Výrobca nábytku,,
Kovovýroba a zámočnícke práce B.M.P.,Kovovýroba a zámočnícke práce B.M.P.,,+421 42/469 20 82,Mestečko,,,
Jozef Matula - Zámočnícke práce,JOZEF,,+421 905 853 176,Sever,,,
Zámočníctvo Juraj Perczel,Zámočníctvo Juraj Perczel,,+421 907 708 348,Komárno,,,
ZZZámočníctvo s.r.o.,ZZZámočníctvo,http://www.zzzamocnictvo.sk/,+421 904 808 055,Levice,Zámočníctvo,,
Vladimír Zajac - zváranie a zámočnícke práce - Turčianske Teplice,Vladimír Zajac,,+421 905 860 329,Turčianske Teplice,Zvárač,,
"Zámočnícke práce, zámočníctvo - Norbert Lobotka","Zámočnícke práce, zámočníctvo",http://www.zamocnictvobn.sk/,+421 908 886 260,Bánovce nad Bebravou,Obchod,,
KOVOKONŠTRUKT s.r.o.,KOVOKONŠTRUKT,http://www.kovokonstrukt.sk/,+421 904 687 145,Topoľčany,Kovovýroba,,
Bartko Róbert - Zámočnícke Práce,Bartko Róbert,,+421 55/464 94 29,Čečejovce,,,
AUTO ZÁMOČNÍCKE PRÁCE,AUTO,,+421 36/622 94 63,Levice,,,
ALU&STEEL s.r.o,ALU&STEEL,https://www.alu-steel.sk/,+421 910 510 836,Levice,Zámočníctvo,,
"Jozef Gjabel - kovoobrábanie,zámočnícke práce",JOZEF,,+421 908 061 409,Žilina-Trnové,Zámočníctvo,,
Bc. Anton Danihel - ZVÁRAČSKÉ A ZÁMOČNÍCKE PRÁCE,BC.,http://m.nerezove-zabradlie-inoxstyle.com/,+421 908 509 939,Pružina,Zvárač,,
Lukáš Krkoš zváračské a zámočnícke práce,LUKÁŠ,,+421 910 649 090,Levice,Zámočníctvo,,
Zámočnictvo Zámočnícke práce Trnava,Zámočnictvo Zámočnícke práce Trnava,http://zamocnictvo-tt.sk/?page_id=81,+421 903 567 609,Šúrovce,,,
Zváračský Servis,ZVÁRAČSKÝ,https://www.zvaracsky-servis.sk/,+421 947 972 048,Kozárovce,Núdzové zámočnícke služby,,
Klampiarstvo Nyári,Klampiarstvo Nyári,http://www.klampiarstvonyari.sk/,+421 903 213 298,Dvory nad Žitavou,Konštrukcia striech,,
"KompletneByvanie - Interiérové Dvere, Kľučky, Stavebné Púzdra, Podlahy",KompletneByvanie,https://www.kompletnebyvanie.sk/,+421 948 066 528,Ružomberok,Predajňa dverí,,
DOORplus interiérové dvere,DOORplus interiérové dvere,http://www.doorplus.sk/,+421 911 773 477,Stupava,Interiérové štúdio,,
Interiérové dvere INTERPRODUKT,INTERIÉROVÉ,https://interprodukt.sk/,+421 918 759 991,Žilina,Dodávateľ dverí,,
"dvere eben, s. r. o.",DVERE,https://dvere-eben.sk/,+421 903 463 869,Senec,Predajňa dverí,,
Dvere PRÜM,DVERE,https://www.dvereprum.sk/,+421 944 501 505,Bratislava,Dodávateľ dverí,,
INTERIÉROVÉ DVERE Stolárstvo - Sučanský,INTERIÉROVÉ,http://www.stolarstvo-sucansky.sk/,+421 32/778 73 01,Bratislava,Predajňa dverí,,
"ADAMIA interiérové dvere, podlahy, nábytok na mieru","ADAMIA interiérové dvere, podlahy, nábytok na mieru",http://www.adamia.sk/,+421 948 249 169,Šaľa,Interiérové štúdio,,
DVERE-PARKETY-TT s.r.o.HARAJ,DVERE-PARKETY-TTHARAJ,http://www.parketytrnava.sk/,,Trnava,Obchod s podlahovými krytinami,,
"INTERIER CHP - dvere, parkety, klimatizácie, okná, tieniaca technika, sieťky na okná, šatníky, garážové brány",INTERIER CHP,https://www.interierchp.sk/,+421 918 713 156,Malacky,Dodávateľ dverí,,
LEVAP - interiérové dvere,LEVAP,http://www.levap.sk/,+421 903 254 410,"Chrenová, Nitra",Interiérové štúdio,,
DVEROVE STUDIO,DVEROVE STUDIO,,,Nové Zámky,Firemná kancelária,,
ALTIERO Interiérové Štúdio - ALTIERO s.r.o.,ALTIERO Interiérové Štúdio,https://altiero.sk/,,Komárno,Interiérové štúdio,,
DEWIND s.r.o.,DEWIND,http://www.dewind.sk/,+421 908 417 715,Nové Zámky,Obchod,,
HEGE s.r.o. - drevené a drevohliníkové okná / okenice / interiérové dvere a nábytok,HEGE,http://www.hege-okna.sk/,+421 35/768 41 26,Martovce,Výrobca,,
MARETI - dvere a parkety,MARETI,http://eshop.mareti.sk/,+421 903 721 722,Petržalka,Dodávateľ dverí,,
Bezpečnostné dvere Active,BEZPEČNOSTNÉ,http://www.dvere-active.sk/,+421 905 981 596,Tvrdošovce,Predajňa nábytku,,
MH-TEX DVERE & PODLAHY,MH-TEX,https://www.mhtex.sk/,+421 915 915 282,Trnava,Obchod,,
LP Štýl,LP,http://www.lpstyl.sk/,+421 36/630 10 44,Levice,Predajňa dverí,,
SPARTAN špecialista na dvere,SPARTAN špecialista na dvere,http://www.dverespartan.sk/,+421 948 735 555,Nitra,Predajňa dverí,,
Oceľové konštrukcie,Oceľové konštrukcie,,+421 918 386 834,Hlohovec,,,
Oceľové konštrukcie a haly,Oceľové konštrukcie a haly,,+421 907 290 372,Veľké Kostoľany,,,
STEEL - EX s.r.o.,STEEL,http://www.steel-ex.sk/,+421 55/678 22 72,Bukovec,,,
"IronWorks, s.r.o.",IronWorks,http://www.ironworks.sk/,+421 905 551 732,Trnava,Výrobca oceľových konštrukcií,,
"METICON, a.s.",METICON,http://www.meticon.eu/,+421 48/619 89 73,Závadka nad Hronom,Firemná kancelária,,
"Metal Complex, s.r.o. - kovovýroba a výroba oceľových konštrukcií",METAL,https://www.metalcomplex.sk/,+421 51/776 43 13,"Nižná Šebastová, Prešov",Výrobca oceľových konštrukcií,,
Haly - Konštrukcie,Haly,http://www.haly-konstrukcie.sk/kontakt,+421 907 728 351,Rimavská Sobota-Sobôtka,Výrobca oceľových konštrukcií,,
"Výroba oceľových konštrukcií - Promont, s.r.o.",Výroba oceľových konštrukcií,https://www.promontsro.com/,+421 915 815 818,Krásno nad Kysucou,Výrobca oceľových konštrukcií,,
JSK Tech s.r.o – Ja som konštruktér,JSK,https://www.jasomkonstrukter.sk/,+421 918 781 328,"Solivar, Prešov",Výrobca oceľových konštrukcií,,
KOVOTROM,KOVOTROM,http://www.kovotrom.sk/,+421 944 004 964,Klin,Výrobca oceľových konštrukcií,,
MSSTEEL s.r.o.,MSSTEEL,http://www.mssteel.sk/,+421 904 138 570,"Mlynárce, Lužianky",Zvárač,,
TECHNOMONT Nitra s.r.o.,TECHNOMONT Nitra,http://www.tmnr.sk/,+421 905 600 100,Nitra,Stavebná firma,,
"AVG group, a.s.",AVG,http://www.avg-group.com/,+421 915 815 629,Vlkanová,Stavebná firma,,
G-METALL s.r.o.,G-METALL,http://www.gmetall.sk/,+421 903 822 768,"Pri Bani, Nové Zámky",Kovoobrábacia dielňa,,
Oceľové Konštrukcie | Imagin Line Constructions,Oceľové Konštrukcie,,+421 948 848 821,Horné Srnie,,,
DOMOVO,DOMOVO,https://domovo.sk/,+421 917 876 193,Hurbanovo,Montáž okien,,
EPTech s.r.o.,EPTech,http://www.eptech.sk/,+421 907 134 914,"Priemyselný obvod pri Dunaji, Štúrovo",Kovovýroba,,
Unibrána,Unibrána,http://www.unibrana.sk/,+421 918 545 132,Jasová,Kovovýroba,,
Slovtos,Slovtos,http://www.slovtos.sk/,+421 918 303 332,Jasová,Výrobca obrábacích strojov,,
VöWELD kovovýroba a zámočníctvo,VöWELD kovovýroba a zámočníctvo,http://www.voweld.sk/,+421 904 587 876,Pezinok-Panholec,Kovodielňa,,
MAKO-kovovýroba s.r.o.,MAKO-kovovýroba,http://www.mako-kovovyroba.sk/,+421 908 729 904,Bratislava,Spoločnosť vyrábajúca kovové konštrukcie,,
Kovovýrobňa Borčin,Kovovýrobňa Borčin,https://www.kovovyrobna.sk/,+421 907 777 935,Slovenský Grob,Kovovýroba,,
