"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"KompletneByvanie - Interiérové Dvere, Kľučky, Stavebné Púzdra, Podlahy","4.7","28","Sv. Anny 1","Ružomberok",,"SK","https://www.kompletnebyvanie.sk/","+421 948 066 528","Predajňa dverí",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KompletneByvanie%20-%20Interi%C3%A9rov%C3%A9%20Dvere%2C%20K%C4%BEu%C4%8Dky%2C%20Stavebn%C3%A9%20P%C3%BAzdra%2C%20Podlahy&query_place_id=ChIJH-8Sbk6nFUcRKCQaV_c1paI","Predajňa dverí"
"DOORplus interiérové dvere","5","25","Cementárenská 1414/15","Stupava",,"SK","http://www.doorplus.sk/","+421 911 773 477","Interiérové štúdio",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=DOORplus%20interi%C3%A9rov%C3%A9%20dvere&query_place_id=ChIJ_dBNuaLzbEcRQBncC-bjbZo","Interiérové štúdio"
"Interiérové dvere INTERPRODUKT","5","14","Kamenná 8925/16G","Žilina",,"SK","https://interprodukt.sk/","+421 918 759 991","Dodávateľ dverí","Obchod s podlahovými krytinami",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Interi%C3%A9rov%C3%A9%20dvere%20INTERPRODUKT&query_place_id=ChIJ42_ROp5eFEcRkvYr3e5OjWY","Dodávateľ dverí"
"dvere eben, s. r. o.","4.6","23","DVERE EBEN","Senec",,"SK","https://dvere-eben.sk/","+421 903 463 869","Predajňa dverí","Obchod s nábytkom do barov / reštaurácií","Predajňa kuchynského nábytku","Sklad dverí","Dodávateľ vstavaného nábytku","Obchod s podlahovými krytinami","Obchod s plastovými oknami","Dodávateľ drevených a laminátových podláh","Pokladanie drevených podlahových krytín",,"https://www.google.com/maps/search/?api=1&query=dvere%20eben%2C%20s.%20r.%20o.&query_place_id=ChIJd4WGvuycbEcRZtYgOEi0D7w","Predajňa dverí"
"Dvere PRÜM","4.6","32","Račianska 90","Bratislava",,"SK","https://www.dvereprum.sk/","+421 944 501 505","Dodávateľ dverí","Obchod s podlahovými krytinami",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dvere%20PR%C3%9CM&query_place_id=ChIJE0ipnt6MbEcR9K8q6ir1tb8","Dodávateľ dverí"
"INTERIÉROVÉ DVERE Stolárstvo - Sučanský","4.8","50","Cyprichova 2475/4","Bratislava",,"SK","http://www.stolarstvo-sucansky.sk/","+421 32/778 73 01","Predajňa dverí","Výrobca dverí",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=INTERI%C3%89ROV%C3%89%20DVERE%20Stol%C3%A1rstvo%20-%20Su%C4%8Dansk%C3%BD&query_place_id=ChIJP52Q8YiObEcR3NWpDblm0UY","Predajňa dverí"
"ADAMIA interiérové dvere, podlahy, nábytok na mieru","4.9","15","Hlavná 8/29","Šaľa",,"SK","http://www.adamia.sk/","+421 948 249 169","Interiérové štúdio","Obchod s podlahovými krytinami","Výrobca nábytku",,,,,,,,"https://www.google.com/maps/search/?api=1&query=ADAMIA%20interi%C3%A9rov%C3%A9%20dvere%2C%20podlahy%2C%20n%C3%A1bytok%20na%20mieru&query_place_id=ChIJU0jlt_1ta0cRe2vGPQa9KXk","Interiérové štúdio"
"DVERE-PARKETY-TT s.r.o.HARAJ","4.6","48","Trstínska cesta 9","Trnava",,"SK","http://www.parketytrnava.sk/",,"Obchod s podlahovými krytinami","Dodávateľ dverí","Podlahárske práce","Dodávateľ garážových vrát","Dodávateľ okien","Pokladanie drevených podlahových krytín",,,,,"https://www.google.com/maps/search/?api=1&query=DVERE-PARKETY-TT%20s.r.o.HARAJ&query_place_id=ChIJOXcnj4WgbEcRIhgt-Eqh_EQ","Obchod s podlahovými krytinami"
"INTERIER CHP - dvere, parkety, klimatizácie, okná, tieniaca technika, sieťky na okná, šatníky, garážové brány","4.6","27","Nám. SNP 4","Malacky",,"SK","https://www.interierchp.sk/","+421 918 713 156","Dodávateľ dverí","Dodávateľ klimatizácií","Podlahárske práce","Obchod s podlahovými krytinami","Predajňa nábytku","Dodávateľ garážových vrát","Obchod s plastovými oknami","Montáž okien",,,"https://www.google.com/maps/search/?api=1&query=INTERIER%20CHP%20-%20dvere%2C%20parkety%2C%20klimatiz%C3%A1cie%2C%20okn%C3%A1%2C%20tieniaca%20technika%2C%20sie%C5%A5ky%20na%20okn%C3%A1%2C%20%C5%A1atn%C3%ADky%2C%20gar%C3%A1%C5%BEov%C3%A9%20br%C3%A1ny&query_place_id=ChIJ3W11DxvCbEcRkaEVT2TfH7I","Dodávateľ dverí"
"LEVAP - interiérové dvere","4.4","22","Zlatomoravecká 1662","Chrenová, Nitra",,"SK","http://www.levap.sk/","+421 903 254 410","Interiérové štúdio",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=LEVAP%20-%20interi%C3%A9rov%C3%A9%20dvere&query_place_id=ChIJl6SYyMc-a0cRyWlI68cdTKk","Interiérové štúdio"
"DVEROVE STUDIO","5","1","Kasárenská 19","Nové Zámky",,"SK",,,"Firemná kancelária",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=DVEROVE%20STUDIO&query_place_id=ChIJ2wUMA20Ha0cRC5OB-dBckyc","Firemná kancelária"
"ALTIERO Interiérové Štúdio - ALTIERO s.r.o.","4.9","19","Tržničné Námestie 4810","Komárno",,"SK","https://altiero.sk/",,"Interiérové štúdio",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ALTIERO%20Interi%C3%A9rov%C3%A9%20%C5%A0t%C3%BAdio%20-%20ALTIERO%20s.r.o.&query_place_id=ChIJrdad8Vata0cRN8CJaSIuU8E","Interiérové štúdio"
"DEWIND s.r.o.","4.7","29","Pod kopcom 69","Nové Zámky",,"SK","http://www.dewind.sk/","+421 908 417 715","Obchod",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=DEWIND%20s.r.o.&query_place_id=ChIJEUPuBbcGa0cRm-fj_mBgJ_8","Obchod"
"HEGE s.r.o. - drevené a drevohliníkové okná / okenice / interiérové dvere a nábytok","4.3","11","Martovce 38, Martovce","Martovce",,"SK","http://www.hege-okna.sk/","+421 35/768 41 26","Výrobca",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=HEGE%20s.r.o.%20-%20dreven%C3%A9%20a%20drevohlin%C3%ADkov%C3%A9%20okn%C3%A1%20%2F%20okenice%20%2F%20interi%C3%A9rov%C3%A9%20dvere%20a%20n%C3%A1bytok&query_place_id=ChIJvXbqfKKra0cR0yrPgz1XeH4","Výrobca"
"MARETI - dvere a parkety","4.7","33","Furdekova 1619/8","Petržalka",,"SK","http://eshop.mareti.sk/","+421 903 721 722","Dodávateľ dverí","Obchod s podlahovými krytinami",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MARETI%20-%20dvere%20a%20parkety&query_place_id=ChIJF4tq8AiJbEcR5b-wUTkFjHg","Dodávateľ dverí"
"Bezpečnostné dvere Active","5","53","J. Hollého 1739","Tvrdošovce",,"SK","http://www.dvere-active.sk/","+421 905 981 596","Predajňa nábytku","Profesionálne služby",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bezpe%C4%8Dnostn%C3%A9%20dvere%20Active&query_place_id=ChIJtwL3pCAOa0cRrVN0Y1Y0i5Q","Predajňa nábytku"
"MH-TEX DVERE & PODLAHY","4.8","23","Konštantína Čulena 12","Trnava",,"SK","https://www.mhtex.sk/","+421 915 915 282","Obchod",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MH-TEX%20DVERE%20%26%20PODLAHY&query_place_id=ChIJe_bL9nhfa0cRBdlwUG5flXc","Obchod"
"LP Štýl","4.7","24","Severná 4072/19","Levice",,"SK","http://www.lpstyl.sk/","+421 36/630 10 44","Predajňa dverí","Interiérové štúdio",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=LP%20%C5%A0t%C3%BDl&query_place_id=ChIJkzuS3fncakcR14oCyo9s38o","Predajňa dverí"
"SPARTAN špecialista na dvere","4.3","6","Mostná 20","Nitra",,"SK","http://www.dverespartan.sk/","+421 948 735 555","Predajňa dverí","Výrobca",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SPARTAN%20%C5%A1pecialista%20na%20dvere&query_place_id=ChIJVfwzMt4-a0cRPqEHFtxwp4U","Predajňa dverí"
"Oceľové konštrukcie",,,"Kamenohorská","Hlohovec",,"SK",,"+421 918 386 834",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Oce%C4%BEov%C3%A9%20kon%C5%A1trukcie&query_place_id=ChIJ4VDd0PNaa0cRhstn_koW5-0",
"Oceľové konštrukcie a haly",,,"Trnavská cesta","Veľké Kostoľany",,"SK",,"+421 907 290 372",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Oce%C4%BEov%C3%A9%20kon%C5%A1trukcie%20a%20haly&query_place_id=ChIJfw4uF6RXa0cReOcJh3zn3Gs",
"STEEL - EX s.r.o.","4.4","5","Bukovec 156","Bukovec",,"SK","http://www.steel-ex.sk/","+421 55/678 22 72",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=STEEL%20-%20EX%20s.r.o.&query_place_id=ChIJWQTtggHiPkcRrz1hexcr-Tk",
"IronWorks, s.r.o.","5","2","Coburgova 84","Trnava",,"SK","http://www.ironworks.sk/","+421 905 551 732","Výrobca oceľových konštrukcií",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=IronWorks%2C%20s.r.o.&query_place_id=ChIJuWfOYH9fa0cR0uRx3FQSDA4","Výrobca oceľových konštrukcií"
"METICON, a.s.","4.6","17","Osloboditeľov 128","Závadka nad Hronom",,"SK","http://www.meticon.eu/","+421 48/619 89 73","Firemná kancelária",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=METICON%2C%20a.s.&query_place_id=ChIJQ5-6H3rWP0cROoHmGpi8yZw","Firemná kancelária"
"Metal Complex, s.r.o. - kovovýroba a výroba oceľových konštrukcií","5","29","Družstevná 2138/34","Nižná Šebastová, Prešov",,"SK","https://www.metalcomplex.sk/","+421 51/776 43 13","Výrobca oceľových konštrukcií",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Metal%20Complex%2C%20s.r.o.%20-%20kovov%C3%BDroba%20a%20v%C3%BDroba%20oce%C4%BEov%C3%BDch%20kon%C5%A1trukci%C3%AD&query_place_id=ChIJc30y67KSPkcR6_ysJam0yt0","Výrobca oceľových konštrukcií"
"Haly - Konštrukcie",,,"Veterná 1720/32","Rimavská Sobota-Sobôtka",,"SK","http://www.haly-konstrukcie.sk/kontakt","+421 907 728 351","Výrobca oceľových konštrukcií",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Haly%20-%20Kon%C5%A1trukcie&query_place_id=ChIJUfK2KDuNP0cRo_CTphSJvnE","Výrobca oceľových konštrukcií"
"Výroba oceľových konštrukcií - Promont, s.r.o.","4.3","16","Krásno nad Kysucou 1961","Krásno nad Kysucou",,"SK","https://www.promontsro.com/","+421 915 815 818","Výrobca oceľových konštrukcií",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=V%C3%BDroba%20oce%C4%BEov%C3%BDch%20kon%C5%A1trukci%C3%AD%20-%20Promont%2C%20s.r.o.&query_place_id=ChIJWfS0SBJBFEcRfxmaJfGmUnk","Výrobca oceľových konštrukcií"
"JSK Tech s.r.o – Ja som konštruktér","5","6","Jesenná 26","Solivar, Prešov",,"SK","https://www.jasomkonstrukter.sk/","+421 918 781 328","Výrobca oceľových konštrukcií","Strojná dielňa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=JSK%20Tech%20s.r.o%20%E2%80%93%20Ja%20som%20kon%C5%A1trukt%C3%A9r&query_place_id=ChIJESybJL3tPkcRVK0OsWy9g7o","Výrobca oceľových konštrukcií"
"KOVOTROM","5","21","Slnečná 529/6","Klin",,"SK","http://www.kovotrom.sk/","+421 944 004 964","Výrobca oceľových konštrukcií",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KOVOTROM&query_place_id=ChIJHTwUAzrPFUcRYs9vpF0G8mY","Výrobca oceľových konštrukcií"
"MSSTEEL s.r.o.","4","2","Rastislavova 12","Mlynárce, Lužianky",,"SK","http://www.mssteel.sk/","+421 904 138 570","Zvárač",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MSSTEEL%20s.r.o.&query_place_id=ChIJoUMPhl4_a0cRR3jbxx_V-1Y","Zvárač"
"TECHNOMONT Nitra s.r.o.",,,"Murgašova 2","Nitra",,"SK","http://www.tmnr.sk/","+421 905 600 100","Stavebná firma",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TECHNOMONT%20Nitra%20s.r.o.&query_place_id=ChIJSZlR51M-a0cRBlylYLmQYEQ","Stavebná firma"
"AVG group, a.s.","4.4","27","Vlkanovská 2","Vlkanová",,"SK","http://www.avg-group.com/","+421 915 815 629","Stavebná firma",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AVG%20group%2C%20a.s.&query_place_id=ChIJ5ZdK7r8-FUcR_o_06Qc03EA","Stavebná firma"
"G-METALL s.r.o.",,,"Vinohrady 9787/14","Pri Bani, Nové Zámky",,"SK","http://www.gmetall.sk/","+421 903 822 768","Kovoobrábacia dielňa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=G-METALL%20s.r.o.&query_place_id=ChIJ1x4_e8cFa0cRhaQ7JAXHc30","Kovoobrábacia dielňa"
"Oceľové Konštrukcie | Imagin Line Constructions",,,"Dolinská 27","Horné Srnie",,"SK",,"+421 948 848 821",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Oce%C4%BEov%C3%A9%20Kon%C5%A1trukcie%20%7C%20Imagin%20Line%20Constructions&query_place_id=ChIJ99dMeyKcFEcRR__Ms-XaY0Q",
"DOMOVO","5","456","Komárňanská 167","Hurbanovo",,"SK","https://domovo.sk/","+421 917 876 193","Montáž okien","Obchod so okennými tienidlami","Predajňa dverí","Dodávateľ dverí","Dodávateľ garážových vrát","Obchod s plastovými oknami","Dodávateľ plastových okien","Obchod so sieťami proti hmyzu",,,"https://www.google.com/maps/search/?api=1&query=DOMOVO&query_place_id=ChIJ0wL6pdmqa0cR_A7Tld32jCw","Montáž okien"
"EPTech s.r.o.","4.5","2","Továrenská č.1","Priemyselný obvod pri Dunaji, Štúrovo",,"SK","http://www.eptech.sk/","+421 907 134 914","Kovovýroba",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=EPTech%20s.r.o.&query_place_id=ChIJGVKpVh9hakcRb_NDVDOwHZ8","Kovovýroba"
"Unibrána","4.3","3","Jasová pri Nových Zámkoch 421","Jasová",,"SK","http://www.unibrana.sk/","+421 918 545 132","Kovovýroba","Kovodielňa","Zvárač",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Unibr%C3%A1na&query_place_id=ChIJZZ0voXn8akcRrPZx1qnuVYY","Kovovýroba"
"Slovtos",,,"Jasová 600","Jasová",,"SK","http://www.slovtos.sk/","+421 918 303 332","Výrobca obrábacích strojov",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Slovtos&query_place_id=ChIJ2aYP4Yn7akcRhxOziBNZ3Lc","Výrobca obrábacích strojov"
"VöWELD kovovýroba a zámočníctvo","4.9","33","Panholec 2167/1","Pezinok-Panholec",,"SK","http://www.voweld.sk/","+421 904 587 876","Kovodielňa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=V%C3%B6WELD%20kovov%C3%BDroba%20a%20z%C3%A1mo%C4%8Dn%C3%ADctvo&query_place_id=ChIJbwMn3xmRbEcRBHp2_Uznk6o","Kovodielňa"
"MAKO-kovovýroba s.r.o.","4.7","14","Stará Vajnorská 4","Bratislava",,"SK","http://www.mako-kovovyroba.sk/","+421 908 729 904","Spoločnosť vyrábajúca kovové konštrukcie",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MAKO-kovov%C3%BDroba%20s.r.o.&query_place_id=ChIJNUM1hrqObEcRgJegY3Fz4n8","Spoločnosť vyrábajúca kovové konštrukcie"
"Kovovýrobňa Borčin","5","11","Okružná 120","Slovenský Grob",,"SK","https://www.kovovyrobna.sk/","+421 907 777 935","Kovovýroba","Staviteľ prístreškov pre autá a pergol","Dodávateľ plotov","Zámočníctvo","Dodávateľ zábradlí","Zvárač",,,,,"https://www.google.com/maps/search/?api=1&query=Kovov%C3%BDrob%C5%88a%20Bor%C4%8Din&query_place_id=ChIJ34jDXO4R5oYRZtwRNP_8VEU","Kovovýroba"
"Vígh - Kovovýroba, s.r.o.","4.6","20","Nová 194","Horný Bar",,"SK","http://www.vigh.sk/","+421 31/550 82 21","Dodávatelia kovových produktov",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=V%C3%ADgh%20-%20Kovov%C3%BDroba%2C%20s.r.o.&query_place_id=ChIJzzqRLIuDa0cRmUaHDDfSX8w","Dodávatelia kovových produktov"
"Kovovýroba -Kovprojekt","5","2","Májová 82","Lok",,"SK",,"+421 904 578 025","Dodávatelia kovových produktov",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kovov%C3%BDroba%20-Kovprojekt&query_place_id=ChIJGRXi23DgakcRoi4xOsljL9c","Dodávatelia kovových produktov"
"RIKOV s.r.o.","5","1","Sídlo firmy: Pribetská 876/116, Prevádzka: Komárňanská 262/104","Hurbanovo",,"SK","http://www.rikov.sk/","+421 907 636 171","Kovovýroba","Obchod s drevom",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RIKOV%20s.r.o.&query_place_id=ChIJr-xjycqra0cRw3DEDv6ZC3E","Kovovýroba"
"UMELECKÁ KOVOVÝROBA",,,"Novozámocká 15","Dulovce",,"SK",,"+421 35/768 32 56",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=UMELECK%C3%81%20KOVOV%C3%9DROBA&query_place_id=ChIJd8z716BVakcR7pe0440W0dc",
"Kovostyl- Kované a Hliníkové ploty a brány","4.8","29","Komárňanská cesta 18","Dolná kapsa, Nové Zámky",,"SK","http://www.kovanabrana.sk/","+421 904 222 002","Zámočníctvo","Dodávateľ hliníka","Staviteľ prístreškov pre autá a pergol","Dodávateľ plotov","Dodávateľ zábradlí",,,,,,"https://www.google.com/maps/search/?api=1&query=Kovostyl-%20Kovan%C3%A9%20a%20Hlin%C3%ADkov%C3%A9%20ploty%20a%20br%C3%A1ny&query_place_id=ChIJ8x2Uh-wEa0cRqFv8IT-nQfk","Zámočníctvo"
"Kovoray","5","18","Južná","Lokca",,"SK","https://www.kovoray.sk/","+421 948 865 168","Kovovýroba","Zvárač hliníka","Dodávateľ zábradlí","Dodávatelia kovových produktov","Výrobca kovového tovaru","Zvárač",,,,,"https://www.google.com/maps/search/?api=1&query=Kovoray&query_place_id=ChIJR2wMCb3mvgARhy_-YkKUOrk","Kovovýroba"
"Drevo - Kovovýroba - Thér","5","1","Jiráskova 4057/41","Nové Zámky",,"SK",,"+421 905 963 803",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Drevo%20-%20Kovov%C3%BDroba%20-%20Th%C3%A9r&query_place_id=ChIJgV_Ua6oGa0cR43TBDJt7c88",
"A&M Service","5","4","Nýrovce 115","Nýrovce",,"SK",,"+421 917 858 355","Kovovýroba",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=A%26M%20Service&query_place_id=ChIJV-BSC1LvakcRL9_0W7Y-EuU","Kovovýroba"
"Kovovýroba","5","1","Voderady 364, Voderady","Voderady",,"SK",,"+421 903 407 681","Firemná kancelária",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kovov%C3%BDroba&query_place_id=ChIJbyvAj-Fha0cRpeiM2io2mlk","Firemná kancelária"
"Kovovýroba Nový","5","1","Trnávka 237","Trnávka",,"SK",,"+421 950 547 494","Kovovýroba",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kovov%C3%BDroba%20Nov%C3%BD&query_place_id=ChIJn3EcrheBa0cRKC93cPx1p-Q","Kovovýroba"
"Kovovýroba - Varsa Ján","4.8","4","Hrabičov 7","Hrabičov",,"SK","https://varsa-a-syn-s-r-o.webnode.sk/","+421 45/686 61 69",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kovov%C3%BDroba%20-%20Varsa%20J%C3%A1n&query_place_id=ChIJGegAuX0qFUcRVJtDOUlbqrg",
"Unistol, s.r.o.","4.6","20","Veľké Ludince 93565, Veľké Ludince","Veľké Ludince",,"SK","http://www.unistol.sk/","+421 36/773 82 33","Dodávateľ garážových vrát","Montáž okien",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Unistol%2C%20s.r.o.&query_place_id=ChIJ80TwApfwakcRTtq8ybJfy4w","Dodávateľ garážových vrát"
"Šarmír Steel s.r.o.","4.9","39","Turecká 4339/2/D","Senec",,"SK","https://sarmirsteel.sk/","+421 910 381 977","Zámočníctvo",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%C5%A0arm%C3%ADr%20Steel%20s.r.o.&query_place_id=ChIJSfayA3oF6WQR9nZvHXl5yJc","Zámočníctvo"
"Výroba Brán","5","7","Budovateľská 28","Cífer",,"SK","https://www.vyrobabran.sk/","+421 903 116 983","Kovovýroba",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=V%C3%BDroba%20Br%C3%A1n&query_place_id=ChIJz6Irc-WfbEcRXWGZL0AM3D4","Kovovýroba"
"JUHOKOV- kované polotovary, komponenty na brány a ploty, pohony NICE a príslušenstvo brán","4.9","40","Komárňanská cesta 18","Dolná kapsa, Nové Zámky",,"SK","https://juhokov.sk/","+421 904 222 002","Distribútor ocele","Dodávateľ hliníka","Kovovýroba",,,,,,,,"https://www.google.com/maps/search/?api=1&query=JUHOKOV-%20kovan%C3%A9%20polotovary%2C%20komponenty%20na%20br%C3%A1ny%20a%20ploty%2C%20pohony%20NICE%20a%20pr%C3%ADslu%C5%A1enstvo%20br%C3%A1n&query_place_id=ChIJ9S7q5wUBa0cRJDu9BgfEnEs","Distribútor ocele"
"Kovozvar Milan Čaplák","4.8","8","Juraja Holčeka 56","Hul",,"SK","https://kovozvarcaplak.sk/","+421 904 190 594","Dodávateľ kovov",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kovozvar%20Milan%20%C4%8Capl%C3%A1k&query_place_id=ChIJx1K4Xokca0cR0zlf0nUjSsU","Dodávateľ kovov"
"Jozef Máňa Zámočníctvo ,Hliníkové brány , Nerezové zábradlia, motorizácia brán","5","12","Kvetná 296","Rapovce",,"SK","http://www.zabradlie.com/","+421 948 001 060","Výrobca",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jozef%20M%C3%A1%C5%88a%20Z%C3%A1mo%C4%8Dn%C3%ADctvo%20%2CHlin%C3%ADkov%C3%A9%20br%C3%A1ny%20%2C%20Nerezov%C3%A9%20z%C3%A1bradlia%2C%20motoriz%C3%A1cia%20br%C3%A1n&query_place_id=ChIJMyolfCoHQEcRfLjcOuk_eVE","Výrobca"
"Brány Nitra","5","2","Poľná ulica 1728/13","Mojmírovce",,"SK","http://www.brany-nitra.sk/","+421 907 508 760","Výrobca dverí",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Br%C3%A1ny%20Nitra&query_place_id=ChIJDX3TME0Va0cRS3fDVtEo4uU","Výrobca dverí"
"Kovaný plot-Kované brány",,,"Kpt. Nálepku 150","Bánov",,"SK","http://www.kovany-plot.sk/","+421 904 222 002","Dodávatelia kovových produktov",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kovan%C3%BD%20plot-Kovan%C3%A9%20br%C3%A1ny&query_place_id=ChIJQY7TWPkFa0cRIyixCtWR9Uo","Dodávatelia kovových produktov"
"LEVKOV","5","2","Mestský Majer 1441/1","Levice",,"SK","http://www.levkov.sk/","+421 911 712 223","Dodávateľ plotov","Zvárač",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=LEVKOV&query_place_id=ChIJlz-FBjXcakcRts5YZVc1dJE","Dodávateľ plotov"
"BNM s.r.o.","5","11","Lieskovany 78, Lieskovany","Lieskovany",,"SK","http://www.brana-namieru.sk/","+421 915 711 156","Kovovýroba",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BNM%20s.r.o.&query_place_id=ChIJ660-HD1PPkcR_27AjIkemds","Kovovýroba"
"FK Brány","5","1","Cabaj","Cabaj - Čápor",,"SK","http://www.fkbrany.sk/","+421 948 910 909","Kovovýroba",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=FK%20Br%C3%A1ny&query_place_id=ChIJpZEWiosVa0cRzmYzcF3djpw","Kovovýroba"
"Vilmarsteel - Posuvné brány","4.6","17","Pod Hájom 50/1087","Dubnica nad Váhom",,"SK","https://www.vilmarsteel.sk/","+421 911 177 267","Zámočníctvo",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vilmarsteel%20-%20Posuvn%C3%A9%20br%C3%A1ny&query_place_id=ChIJZZYa1s-ZFEcRogTWaqNAWNk","Zámočníctvo"
"RVK steel - ploty, brány, zábradlia","4.8","12","Sidónie Sakalovej 1304","Bytča",,"SK","http://www.rvksteel.sk/","+421 918 211 139","Zámočníctvo","Kovovýroba","Dodávateľ zábradlí","Zvárač",,,,,,,"https://www.google.com/maps/search/?api=1&query=RVK%20steel%20-%20ploty%2C%20br%C3%A1ny%2C%20z%C3%A1bradlia&query_place_id=ChIJ53dWTuBfFEcRURMEuCEt540","Zámočníctvo"
"Brány výroba, servis, montáž – Havran BS",,,"Antolská 1","Banská Štiavnica",,"SK","http://www.havranbs.sk/","+421 905 966 432","Výrobca",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Br%C3%A1ny%20v%C3%BDroba%2C%20servis%2C%20mont%C3%A1%C5%BE%20%E2%80%93%20Havran%20BS&query_place_id=ChIJZcprWqzNakcRC5YXbsvKIQ4","Výrobca"
"Posuvné brány - RT KOVO s.r.o.","4.6","11","Raková 43","Raková",,"SK","https://www.rt-posuvnebrany.sk/","+421 904 999 187","Kovodielňa","Dodávateľ stavebných potrieb",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Posuvn%C3%A9%20br%C3%A1ny%20-%20RT%20KOVO%20s.r.o.&query_place_id=ChIJw4398VRqFEcR5DhSHxgfEcY","Kovodielňa"
"Brány-ploty-kovo s.r.o.","4.5","15","Jánovce 215","Jánovce",,"SK","https://www.brany-ploty-kovo.sk/","+421 911 740 338","Zámočníctvo","Dodávateľ plotov","Kovovýroba","Výrobca","Dodávatelia kovových produktov","Kovodielňa","Dodávateľ zábradlí","Dodávateľ schodov",,,"https://www.google.com/maps/search/?api=1&query=Br%C3%A1ny-ploty-kovo%20s.r.o.&query_place_id=ChIJ0Vq0weucbEcRwn2g-40M_5s","Zámočníctvo"
"Brány FENIX, s.r.o.","4.8","5","Podhorie 189","Podhorie",,"SK","http://www.posuvnebranyfenix.sk/","+421 907 828 548","Kovovýroba","Kovodielňa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Br%C3%A1ny%20FENIX%2C%20s.r.o.&query_place_id=ChIJfyj5-JtfFEcRwR40zjnTsQc","Kovovýroba"
"HEINEKEN Slovensko","4","141","Novozámocká 2","Hurbanovo",,"SK","http://www.heinekenslovensko.sk/","+421 35/765 41 11","Pivovar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=HEINEKEN%20Slovensko&query_place_id=ChIJxShmycWqa0cRyUHXX0OaxEc","Pivovar"
"AAA Geodet - Bédi",,,"Hlavná 34","Štúrovo",,"SK","http://aaageodet.sk/","+421 35/640 08 21","Geodet",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AAA%20Geodet%20-%20B%C3%A9di&query_place_id=ChIJYYVEmb9hakcRL-1nVzEtxFo","Geodet"
